Fecha y hora,CO (ppm),NO (ppb),NO2 (ppb),NOX (ppb),O3 (ppb),PM10 (ug/m3),PM2.5 (ug/m3),PRS (mmHg),RAINF (mm/h),RH (%),SO2 (ppb),SR (kW/m2),TOUT (¼C),WSR (km/h),WDR (azimutal)
2022-01-29 18:00:00,0.64,6.3,20.2,26.5,35,32,7,718.9,0,38,4.78,0.091,15.58,9.5,96
2022-01-30 00:00:00,0.77,15.7,33.2,48.9,11,29,8,719.2,0,56,7.5,0,10.73,2.3,59
2022-01-30 06:00:00,1.03,30.5,34.1,64.5,9.2,73,29,717,0,69,5.7,0,7.92,3.2,27
2022-01-30 12:00:00,1.25,10.2,21.4,31.6,50,77,29,717.3,0,43,8.4,0.385,16.6,5.4,26
2022-01-30 18:00:00,0.76,6.5,23.6,30.1,38,47,8,712.9,0,39,5.8,0.101,20.92,9.2,88
2022-01-31 00:00:00,0.79,14.9,23.8,38.7,15,52,12,713.2,0,77,4.9,0,15.14,6.7,37
2022-01-31 06:00:00,0.84,21.6,26,47.6,7,63,21,711.3,0,85,4.26,0,13.02,4.3,287
2022-01-31 12:00:00,1.11,37.1,30.9,67.9,25,91,22,712,0,42,5.9,0.383,21.94,8.7,23
2022-01-31 18:00:00,0.8,8.4,32.7,41.1,38,46,20,707.9,0,21,5.7,0.099,26.58,7.1,115
2022-02-01 00:00:00,1.958,57.22,33.1,90.24,11,76.4,9.2,710.44,4.33681E-19,60,3.48,0,20.384,7.34,196.6
2022-02-01 06:00:00,1.18,63.2,35.9,99.1,6.8,86,23,709.8,0,74,5.4,0,12.99,2,221
2022-02-01 12:00:00,1.24,37.5,40.6,78,27,198,43,710.4,0,47,11.4,0.384,22.08,7.3,18
2022-02-01 18:00:00,0.81,7.2,25.1,32.3,38,48,12,706.7,0,32,5.4,0.095,25.49,11.5,98
2022-02-02 00:00:00,0.98,19.6,30.4,50,13,46,12,707.7,0,67,4.9,0,18.65,6.2,35
2022-02-02 06:00:00,0.9,37.6,24.7,62.2,7,77,34,706.1,0,86,5.3,0,15.61,4.5,11
2022-02-02 12:00:00,1.17,40.8,30.1,70.9,25,97,21,707.2,0,49,6,0.385,21.84,11,5
2022-02-02 18:00:00,1.12,23.9,36.2,60.1,20,69,29,705,0,42,5.3,0.081,25.03,10.4,51
2022-02-03 00:00:00,0.79,16.1,21.2,37.3,17,83,17,708.2,0,67,5,0,19.11,13.3,13
2022-02-03 06:00:00,0.58,15,10.8,25.8,14,35,6,710.5,0,74,3.84,0,10.65,18.8,7
2022-02-03 12:00:00,1,52.3,17.2,69.3,10,55,3,716,0,73,4.8,0.065,6.95,14.1,7
2022-02-03 18:00:00,0.96,51.3,22.2,73.4,11,55,10,716.2,0,65,4.6,0.006,6,16.3,8
2022-02-04 00:00:00,0.46,12.8,13.7,26.5,19,20,3,721.1,0,66,4.3,0,3.47,10.6,9
2022-02-04 06:00:00,0.47,17.1,13.2,30.2,20,17,4,723.4,0,82,3.18,0,0.4,12.4,5
2022-02-04 12:00:00,0.78,48,21.3,69.2,16,50,13,726.7,0,59,4.6,0.167,4.57,14.1,357
2022-02-04 18:00:00,0.97,51.3,28.6,79.8,16,35,10,725.5,0,38,4.8,0.037,9.29,12.9,359
2022-02-05 00:00:00,0.52,17,26.3,43.3,18,31,6,728.2,0,40,5,0,4.43,9.3,35
2022-02-05 06:00:00,0.52,21.8,41.5,63.2,6,19,3,726.9,0,49,5.5,0,2.36,3.7,260
2022-02-05 12:00:00,1.03,43.8,36,79.9,23,117,19,725.4,0,35,9.3,0.397,8.69,9.1,54
2022-02-05 18:00:00,0.61,7.1,20.1,27.2,36,25,2,719.8,0,29,5.5,0.11,12.17,10.2,79
2022-02-06 00:00:00,0.44,3.9,13.8,17.6,35,20,2,719.1,0,37,4.7,0,7.37,9.1,85
2022-02-06 06:00:00,0.77,25.1,38,63,6,52,18,716.7,0,53,8.5,0,4.3,5.2,354
2022-02-06 12:00:00,1.2,17.6,27.4,45,34,78,32,717,0,30,10.5,0.356,13.41,5.5,21
2022-02-06 18:00:00,0.8,4.8,30.2,35,52,76,38,714.1,0,28,11.5,0.042,17.05,7.8,66
2022-02-07 00:00:00,0.93,12.1,36.6,48.6,8,46,6,718.6,0,78,5.3,0,10.44,4,251
2022-02-07 06:00:00,1.12,46.7,29.6,76.3,4,61,38,719.4,0,83,5.6,0,10.25,3.7,336
2022-02-07 12:00:00,0.86,33.5,28.4,61.9,16,74,9,722.7,0,53,5.8,0.111,13,7.3,33
2022-02-07 18:00:00,0.93,30.1,34.9,65,17,37,5,721,0,40,5.5,0.017,13.36,7.7,350
2022-02-08 00:00:00,0.83,19.6,38.4,58,7,43,15,723,0,48,6.1,0,11.56,5.4,218
2022-02-08 06:00:00,0.94,48.2,34.4,82.6,7,58,17.4,720.7,0,56,5.9,0,8.36,5.1,252
2022-02-08 12:00:00,1.12,31.6,34.2,65.8,31,58,19,720.8,0,29,7.8,0.41,16.41,7.3,8
2022-02-08 18:00:00,0.68,4.4,24.4,28.8,64,55,18,716.8,0,25,12.3,0.11,18.39,9.5,104
2022-02-09 00:00:00,0.79,19.4,37.8,57.1,11,43,9,722.9,0,37,4.9,0,11.12,4.8,61
2022-02-09 06:00:00,0.68,21.1,38.1,59.1,5,65,20,680.8,0,63,5.2,0,7.26,3.2,227
2022-02-09 12:00:00,1.43,41.6,47.1,88.6,26,126,39,715.04,0,27,10.5,0.37,16.53,5.5,25
2022-02-09 18:00:00,0.78,4.3,28.9,33.2,72,56,20,713.6,0,27,15.9,0.102,21.08,9.9,98
2022-02-10 00:00:00,0.73,7.6,19.9,27.5,26,52,4,714.8,0,66,5.1,0,13.22,9,71
2022-02-10 06:00:00,0.72,21.6,36,57.5,4,45,8,714.3,0,80,4.9,0,10.17,2.2,250
2022-02-10 12:00:00,1.14,26.6,36.4,63,31,92,31,716,0,55,10.5,0.374,18.15,5.8,25
2022-02-10 18:00:00,0.78,5.1,26.8,31.9,52,63,32,713.6,0,47,12.7,0.046,19.57,9.5,108
2022-02-11 00:00:00,0.79,6,19.5,25.5,25,38,8,714.8,0,82,4.6,0,14.5,8.6,79
2022-02-11 06:00:00,0.76,6.1,21.1,27.2,16,43,10,713.4,0,75,5.2,0,14.31,3.1,216
2022-02-11 12:00:00,1.28,35.4,46,81.3,26,112,45,713.7,0,51,7.9,0.395,20.41,6.3,328
2022-02-11 18:00:00,0.82,7.5,26.9,34.4,34,52,20,710.3,0,42,5.2,0.102,23.2,9.7,89
2022-02-12 00:00:00,0.9,17.2,25.9,43.1,12,40,4,712.9,0,82,4.6,0,15.76,5.9,42
2022-02-12 06:00:00,1.02,17.6,29.1,46.7,5,68,37,713.1,0,81,4.5,0,14.65,8,255
2022-02-12 12:00:00,1.05,30.5,23.2,53.7,28,169,11,717,0,46,5.2,0.407,21.02,15.6,17
2022-02-12 18:00:00,0.73,16.3,16.5,32.7,34,171,5,719.4,0,31,4.8,0.037,18.09,22.9,10
2022-02-13 00:00:00,0.64,11.9,19.5,31.4,23,52,11,725,0,45,4.4,0,11.5,11,26
2022-02-13 06:00:00,0.59,12.8,20.4,33.2,24,27,4,724.8,0,45,4.5,0,7.81,6,347
2022-02-13 12:00:00,0.72,15.6,19.9,35.5,35,51,16,725.8,0,33,5.6,0.463,13.88,8.9,56
2022-02-13 18:00:00,0.73,5,18.5,23.5,39,36,11,722.1,0,33,5.4,0.049,14.97,10.2,99
2022-02-14 00:00:00,0.72,10.6,32.2,42.7,17,25,3,723,0,32,4.6,0,10.94,4.8,30
2022-02-14 06:00:00,0.79,39.5,37.5,76.9,5,54,19,721.2,0,45,6,0,6.92,7.8,273
2022-02-14 12:00:00,1.1,33.8,36.7,70.4,28,81,26,720.9,0,28,8.5,0.428,16.08,8.5,47
2022-02-14 18:00:00,0.83,9.2,25.6,34.7,31,46,15,717,0,29,5.3,0.122,20.46,11.5,94
2022-02-15 00:00:00,0.84,27.8,31.2,59,12,42,3,718.3,0,57,8,0,12.52,7,31
2022-02-15 06:00:00,1.04,62.4,38.3,100.7,5,68,14,716.3,0,72,6.2,0,9.35,4.1,338
2022-02-15 12:00:00,1.41,45.1,48.2,93.2,28,112,35,717,0,44,10.6,0.426,17.32,9.1,33
2022-02-15 18:00:00,0.79,7.6,25.8,33.4,38,54,15,712.7,0,31,5.6,0.124,23.92,12.4,97
2022-02-16 00:00:00,0.8,18.4,26.6,45,14,69,13,713.3,0,64,8.8,0,16.06,9.3,30
2022-02-16 06:00:00,0.88,42.8,31.3,74,4,37,12,711.5,0,82,5.6,0,12.04,2.4,310
2022-02-16 12:00:00,2.17,32.8,55.9,88.5,36,106,47,710.9,0,47,12,0.422,22.11,6.1,31
2022-02-16 18:00:00,0.93,6.6,29.3,35.9,44,68,31,706.1,0,30,6.4,0.123,29.4,11,98
2022-02-17 00:00:00,1.38,35.4,49.7,85,5,101,25,706.4,0,53,5.6,0,21.17,4.2,45
2022-02-17 06:00:00,1.59,91.9,45.9,137.8,3,122,34,707.6,0,60,7.3,0,18.35,7.8,206
2022-02-17 12:00:00,0.9,35.6,22,57.6,28,345,36,712.9,0,22,4.8,0.427,24.52,13.8,358
2022-02-17 18:00:00,0.73,6.9,24.5,31.4,41,193,29,712.1,0,23,13.2,0.105,26.36,12.7,106
2022-02-18 00:00:00,0.66,10.5,21,31.5,30,69,3.8,717.1,0,18,4.4,0,19.61,12.9,4
2022-02-18 06:00:00,0.61,26.1,20.1,46.2,15,34,5.2,719.3,0,46,4.6,0,9.44,9.1,30
2022-02-18 12:00:00,0.75,30.4,18.1,48.5,28,74,15,721,0,29,4.9,0.424,15.12,9.5,13
2022-02-18 18:00:00,0.79,9.3,28.8,38,46,55,20,717.6,0,27,12.2,0.084,18.28,10.1,88
2022-02-19 00:00:00,0.59,5.3,20.7,26,28,32,5,720.3,0,33,4.6,0,13.6,9.3,86
2022-02-19 06:00:00,0.88,45.1,37.3,82.3,9,51,15,720.5,0,48,6.4,0,9.99,6.7,28
2022-02-19 12:00:00,0.73,15.7,18.4,34.1,42,76,13,722.5,0,30,7.4,0.437,16.24,8.4,58
2022-02-19 18:00:00,0.74,5.6,19.6,25.2,46,45,13,718.8,0,26,6.8,0.136,18.98,12.3,93
2022-02-20 00:00:00,0.95,5.6,29,34.5,26,43,10,719.2,0,41,5.1,0,14.64,8.6,79
2022-02-20 06:00:00,0.78,16.7,30.6,47.3,12,41,8,717.3,0,64,8,0,11.53,4.8,355
2022-02-20 12:00:00,0.92,11.5,20.1,31.6,47,51,29,717.1,0,41,8.2,0.446,18.52,7.8,42
2022-02-20 18:00:00,0.79,6,19.8,25.8,41,38,13,713.1,0,34,7.2,0.121,24.6,9.4,77
2022-02-21 00:00:00,0.9,14.1,22.5,36.5,11,60,14,714.8,0,75,5.2,0,18.9,6.8,31
2022-02-21 06:00:00,1.36,56.2,25.5,81.8,3,72,13,712.6,0,85,4.9,0,15.78,2.3,285
2022-02-21 12:00:00,1.57,27.6,51.9,79.4,33,265,62,712.3,0,41,9.8,0.425,25.65,8.3,90
2022-02-21 18:00:00,0.87,7.6,24.6,32.1,33,56,19,708.1,0,32,5.3,0.121,30.61,11.5,94
2022-02-22 00:00:00,1.05,28.6,34.5,63,11,85,20,709.8,0,49,5.1,0,23.81,8.5,19
2022-02-22 06:00:00,1,31.4,31.5,62.9,4,80,23,710.5,0,69,5.1,0,18.54,5.1,245
